1 100 -100 100 315
-1.57	0.5708
-1.56	0.57085
-1.55	0.57101
-1.54	0.57127
-1.53	0.57163
-1.52	0.57209
-1.51	0.57264
-1.5	0.5733
-1.49	0.57406
-1.48	0.57492
-1.47	0.57587
-1.46	0.57693
-1.45	0.57808
-1.44	0.57934
-1.43	0.58069
-1.42	0.58214
-1.41	0.5837
-1.4	0.58535
-1.39	0.5871
-1.38	0.58894
-1.37	0.59089
-1.36	0.59293
-1.35	0.59507
-1.34	0.59731
-1.33	0.59965
-1.32	0.60208
-1.31	0.60461
-1.3	0.60724
-1.29	0.60996
-1.28	0.61278
-1.27	0.6157
-1.26	0.61871
-1.25	0.62181
-1.24	0.62501
-1.23	0.62831
-1.22	0.6317
-1.21	0.63518
-1.2	0.63876
-1.19	0.64243
-1.18	0.64619
-1.17	0.65005
-1.16	0.65399
-1.15	0.65803
-1.14	0.66216
-1.13	0.66638
-1.12	0.6707
-1.11	0.6751
-1.1	0.67959
-1.09	0.68417
-1.08	0.68884
-1.07	0.6936
-1.06	0.69844
-1.05	0.70337
-1.04	0.70839
-1.03	0.7135
-1.02	0.71869
-1.01	0.72396
-1.0	0.72933
-0.99	0.73477
-0.98	0.7403
-0.97	0.74591
-0.96	0.7516
-0.95	0.75738
-0.94	0.76324
-0.93	0.76918
-0.92	0.77519
-0.91	0.78129
-0.9	0.78747
-0.89	0.79372
-0.88	0.80006
-0.87	0.80647
-0.86	0.81295
-0.85	0.81952
-0.84	0.82615
-0.83	0.83286
-0.82	0.83965
-0.81	0.84651
-0.8	0.85344
-0.79	0.86044
-0.78	0.86752
-0.77	0.87466
-0.76	0.88187
-0.75	0.88916
-0.74	0.89651
-0.73	0.90393
-0.72	0.91141
-0.71	0.91896
-0.7	0.92658
-0.69	0.93426
-0.68	0.942
-0.67	0.94981
-0.66	0.95768
-0.65	0.96561
-0.64	0.9736
-0.63	0.98165
-0.62	0.98976
-0.61	0.99793
-0.6	1.00615
-0.59	1.01444
-0.58	1.02277
-0.57	1.03116
-0.56	1.03961
-0.55	1.04811
-0.54	1.05666
-0.53	1.06526
-0.52	1.07392
-0.51	1.08262
-0.5	1.09137
-0.49	1.10017
-0.48	1.10902
-0.47	1.11791
-0.46	1.12685
-0.45	1.13583
-0.44	1.14486
-0.43	1.15393
-0.42	1.16304
-0.41	1.17219
-0.4	1.18138
-0.39	1.19061
-0.38	1.19988
-0.37	1.20918
-0.36	1.21852
-0.35	1.2279
-0.34	1.23731
-0.33	1.24675
-0.32	1.25623
-0.31	1.26574
-0.3	1.27528
-0.29	1.28484
-0.28	1.29444
-0.27	1.30406
-0.26	1.31372
-0.25	1.32339
-0.24	1.33309
-0.23	1.34282
-0.22	1.35257
-0.21	1.36234
-0.2	1.37213
-0.19	1.38194
-0.18	1.39177
-0.17	1.40161
-0.16	1.41148
-0.15	1.42136
-0.14	1.43125
-0.13	1.44116
-0.12	1.45108
-0.11	1.46102
-0.1	1.47096
-0.09	1.48092
-0.08	1.49088
